authority_id,publication_route_id,iso2,country,authority,roles,authority_website,evidence_url,observed_final_url,source_host_scope,publication_route_type,access_state,archive_access_state,publication_relevance,scope_evidence_state,qualification_state,source_route_state,language_hints,language_evidence_state,observed_months_2024_2026,latest_observed_month,provisional_cadence_signal,cadence_contract_recommendation,archive_boundary,source_checked_at,snapshot_generated_at,evidence_notes
ra-auth-ag-e132fcf4060e981d,ra-route-3a68d91789ae3d5b66b0,AG,Antigua and Barbuda,Office of National Drug and Money Laundering Control Policy (ONDCP),financial_intelligence,http://ondcp.gov.ag/,https://ondcp.gov.ag/,https://ondcp.gov.ag/,authority-owned,enforcement_archive,reachable,dated-first-page-signal,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,2024-10;2025-03;2025-06;2025-07;2025-08;2025-10;2025-12;2026-02;2026-06,2026-06,active-first-page-signal,monthly,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-ar-db81036327862a78,ra-route-f61b52fdd56e2b445620,AR,Argentina,Superintendencia de Seguros de la Nacion Argentina,insurance;financial_intelligence,https://www.argentina.gob.ar/superintendencia-de-seguros,https://www.argentina.gob.ar/noticias/seguros-y-salud-la-ssn-presento-los-alcances-de-la-resolucion-2582026-en-la-fundacion,https://www.argentina.gob.ar/noticias/seguros-y-salud-la-ssn-presento-los-alcances-de-la-resolucion-2582026-en-la-fundacion,not-observable,not-observable,challenge-protected,not-observable,not-observable,browser-clearance-required,browser-review-required,obstructed,,not-determined,2026-07;2026-08,2026-08,not-observable,browser-review,not-observable,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,Approved from the official-source snapshot only; no scraper promotion is implied. | Direct observation was not available; preserve the transport/browser state and do not infer publication absence. | No dated first-page signal is not evidence of no publication activity.
ra-auth-am-ee9b41f358886a27,ra-route-56909debc56c68a25038,AM,Armenia,Central Bank of Armenia,central_banking;prudential_supervision;securities;insurance;pensions;financial_intelligence,http://www.cba.am/,https://www.cba.am/hy/Board-decisions/,https://www.cba.am/hy/Board-decisions/,authority-owned,decision_register,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-aw-523d6d5d6fe6a380,ra-route-7607917983bbb46a20a6,AW,Aruba,Central Bank of Aruba,central_banking;prudential_supervision;insurance,http://www.cbaruba.org/,https://www.cbaruba.org/financial-sanctions-regulations/,https://www.cbaruba.org/financial-sanctions-regulations/,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-aw-03fab1dd65cd303f,ra-route-af6bede163d7ba906a38,AW,Aruba,Financial Intelligence Unit of Aruba (FIU-Aruba),financial_intelligence,https://www.fiu-aruba.com/,https://www.fiu-aruba.com/legislation/sanctions-regime/,https://www.fiu-aruba.com/legislation/sanctions-regime/,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-au-8c5fa521886eda3a,ra-route-810dea0940aa5c8a6067,AU,Australia,Australian Prudential Regulation Authority,prudential_supervision;insurance;pensions,http://www.apra.gov.au/,https://www.apra.gov.au/about-us/our-functions/enforcement,https://www.apra.gov.au/about-us/our-functions/enforcement,authority-owned,enforcement_archive,reachable,dated-first-page-signal,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,2024-01;2024-03;2024-06;2024-07;2024-12;2025-03,2025-03,low-frequency-first-page-signal,semiannual,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-au-a21743bb62e54f40,ra-route-d0ebb809d792415fb43d,AU,Australia,Australian Securities and Investments Commission*,securities;insurance,http://www.asic.gov.au/,https://www.asic.gov.au/,https://www.asic.gov.au/,authority-owned,enforcement_archive,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-au-0a938215a7c0f6b7,ra-route-2bb4060285257b3fb691,AU,Australia,Reserve Bank of Australia,central_banking;prudential_supervision,http://www.rba.gov.au/,https://www.rba.gov.au/copyright/,https://www.rba.gov.au/copyright/,authority-owned,news_or_notice,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-at-03ae8943673ec82c,ra-route-035df8c3deec6ff55e18,AT,Austria,Central Bank of the Republic of Austria,central_banking;prudential_supervision,https://www.oenb.at/en/,https://www.oenb.at/en/Services/copyright-notice-and-disclaimer.html,https://www.oenb.at/en/Services/copyright-notice-and-disclaimer.html,authority-owned,news_or_notice,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-az-f996fbdea48a2c96,ra-route-6a6887d4deee6b4ee396,AZ,Azerbaijan,Central Bank of the Republic of Azerbaijan,central_banking;prudential_supervision;insurance,https://www.cbar.az/home?language=en,https://www.cbar.az/press-releases/2,https://www.cbar.az/press-releases/2,authority-owned,news_or_notice,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bs-af3003e41efcd830,ra-route-e2cc29c3859ccd6fff55,BS,Bahamas,Central Bank of The Bahamas,central_banking;prudential_supervision,http://www.centralbankbahamas.com/,https://www.centralbankbahamas.com/bank-supervision/us-ofac-sanctions,https://www.centralbankbahamas.com/bank-supervision/us-ofac-sanctions,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bs-65a1151766296215,ra-route-5073b0fef243aa311e5c,BS,Bahamas,Financial Intelligence Unit Bahamas (FIU-Bahamas),financial_intelligence,https://www.fiubahamas.org.bs/,https://www.fiubahamas.org.bs/category/notices/,https://www.fiubahamas.org.bs/category/notices/,authority-owned,news_or_notice,reachable,dated-first-page-signal,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,2024-10;2025-03;2025-06;2025-10;2025-12,2025-12,periodic-first-page-signal,quarterly,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-bs-fb816a9c87477812,ra-route-252561e83e1106e4dea2,BS,Bahamas,Securities Commission of The Bahamas*,securities,http://www.scb.gov.bs/,https://scb.gov.bs/enforcement/judgements/,https://scb.gov.bs/enforcement/judgements/,authority-owned,enforcement_archive,reachable,dated-first-page-signal,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,2025-11;2026-08,2026-08,low-frequency-first-page-signal,semiannual,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-bs-52705fe1265a6002,ra-route-7475657e56a4ff678da5,BS,Bahamas,The Insurance Commission of The Bahamas,insurance;pensions,http://www.icb.gov.bs/,https://www.icb.gov.bs/enforcement/,https://www.icb.gov.bs/enforcement/,authority-owned,enforcement_archive,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bd-313564960f66b110,ra-route-0d1a6b821b553afbeb26,BD,Bangladesh,Bangladesh Bank,central_banking;prudential_supervision;financial_intelligence,https://www.bb.org.bd/,https://www.bb.org.bd/mediaroom/notice/notice_342.pdf,https://www.bb.org.bd/mediaroom/notice/notice_342.pdf,authority-owned,detail_document,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bd-e1c71a674ceeb443,ra-route-8b9b0f59b219543aef4f,BD,Bangladesh,Bangladesh Securities and Exchange Commission,securities,http://www.sec.gov.bd/,https://sec.gov.bd/home/enforcement,https://sec.gov.bd/home/enforcement,authority-owned,enforcement_archive,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bb-8fcfcacc46305dc1,ra-route-2fc55b409b038928f4c2,BB,Barbados,Central Bank of Barbados,central_banking;prudential_supervision,http://www.centralbank.org.bb/,https://www.centralbank.org.bb/financial-stability-and-financial-regulation/united-nations-security-council-sanctions,https://www.centralbank.org.bb/financial-stability-and-financial-regulation/united-nations-security-council-sanctions,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bb-963b5ebf47a1294f,ra-route-4b3814f1bc5cea4cc85d,BB,Barbados,Financial Services Commission,securities,http://www.fsc.gov.bb/,https://www.fsc.gov.bb/enforcement,https://www.fsc.gov.bb/enforcement,authority-owned,enforcement_archive,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-be-07677f52a176601c,ra-route-9198b040515bb8ab7b3d,BE,Belgium,Financial Services and Markets Authority*,securities;insurance;pensions,http://www.fsma.be/,https://www.fsma.be/en/warnings-sanctions,https://www.fsma.be/en/warnings-sanctions,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-be-a783da4fdc4c6852,ra-route-35caad5375c71b18f52e,BE,Belgium,National Bank of Belgium,central_banking;prudential_supervision;insurance,https://www.nbb.be/en,https://www.nbb.be/en/news-events/events/advance-notice-events,https://www.nbb.be/en/news-events/events/advance-notice-events,not-observable,not-observable,challenge-protected,not-observable,not-observable,browser-clearance-required,browser-review-required,obstructed,en,explicit-url-or-label-hint,,,not-observable,browser-review,not-observable,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,Approved from the official-source snapshot only; no scraper promotion is implied. | Direct observation was not available; preserve the transport/browser state and do not infer publication absence. | No dated first-page signal is not evidence of no publication activity.
ra-auth-bz-683bbb7b1c9b6d91,ra-route-edb83351b1aa3d1c258f,BZ,Belize,Central Bank of Belize,central_banking;prudential_supervision,http://www.centralbank.org.bz/,https://www.centralbank.org.bz/detail-pages/news/2026/07/27/the-central-bank--fiu--and-fsc-sign-governance-agreements-for-the-use-of-the-sanctions-registry-system,https://www.centralbank.org.bz/detail-pages/news/2026/07/27/the-central-bank--fiu--and-fsc-sign-governance-agreements-for-the-use-of-the-sanctions-registry-system,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bz-f4aee66e44b59676,ra-route-8d05b1f4d5ca1bb58fb5,BZ,Belize,Financial Intelligence Unit Belize (FIU-Belize),financial_intelligence,http://www.fiubelize.org/,https://scsanctions.un.org/consolidated/,https://unsolprodfiles.blob.core.windows.net/publiclegacyxmlfiles/EN/consolidatedLegacyByNAME.html?sv=2024-05-04&st=2026-08-20T12%3A10%3A45Z&se=2026-08-20T13%3A10%3A45Z&sr=b&sp=r&sig=a6jAserH89q0g4hTYsDOc36X1eO1wghFrj676YXd2aM%3D&rscd=attachment%3B%20filename%3D%22consolidatedLegacyByNAME.html%22,official-external,sanctions_or_penalty_list,reachable,dated-first-page-signal,strong-official-publication-candidate,official-external-scope,manual-review-required,official-external,en;fr,explicit-url-or-label-hint,2024-05;2024-12;2026-02;2026-06,2026-06,periodic-first-page-signal,quarterly,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-bz-db68e8e8ae5d66a5,ra-route-3dbb255e4aec885625f8,BZ,Belize,Financial Services Commission,securities,https://www.belizefsc.org.bz/,https://www.belizefsc.org.bz/enforcement/,https://www.belizefsc.org.bz/enforcement/,authority-owned,enforcement_archive,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-bj-33b20c8116c5b18c,ra-route-7efa25611450b375b6c4,BJ,Benin,Central Bank of West African States (BCEAO),central_banking;prudential_supervision,https://www.bceao.int/en,https://www.bceao.int/en,https://www.bceao.int/en,authority-owned,news_or_notice,reachable,dated-first-page-signal,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,2026-03;2026-05;2026-06;2026-07,2026-07,periodic-first-page-signal,quarterly,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-bj-45feb29c1def494a,ra-route-fbcd1c075633be1333d2,BJ,Benin,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,http://cima-afrique.org/,https://cima-afrique.org/decisions-du-cma/,https://cima-afrique.org/decisions-du-cma/,authority-owned,decision_register,reachable,dated-first-page-signal,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en;fr,explicit-url-or-label-hint,2026-07,2026-07,low-frequency-first-page-signal,semiannual,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-bm-62e9db10ee01c3c2,ra-route-b6779501efe7c6013f5a,BM,Bermuda,Financial Intelligence Agency Bermuda (FIA),financial_intelligence,https://www.fia.bm/,https://public.govdelivery.com/accounts/BERMFSIU/signup/46844?FIA,https://public.govdelivery.com/accounts/BERMFSIU/signup/46844?FIA,external-unqualified,sanctions_or_penalty_list,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
