regulator_code,stable_regulator_id,authority_id,country_code,authority,role_mapping,component,weight_pct,value,available,evidence,blocker
CBI,ra-reg-cbi,ra-auth-ie-c0b5db67449c98df,IE,Central Bank of Ireland,insurance;prudential_supervision;securities,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
CBI,ra-reg-cbi,ra-auth-ie-c0b5db67449c98df,IE,Central Bank of Ireland,insurance;prudential_supervision;securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
CBI,ra-reg-cbi,ra-auth-ie-c0b5db67449c98df,IE,Central Bank of Ireland,insurance;prudential_supervision;securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=96;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
CBI,ra-reg-cbi,ra-auth-ie-c0b5db67449c98df,IE,Central Bank of Ireland,insurance;prudential_supervision;securities,archiveDepth,20,100,true,"active_years=18;authority_id=ra-auth-ie-c0b5db67449c98df;archive_access_state=first-page-observed-no-date;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
CBI,ra-reg-cbi,ra-auth-ie-c0b5db67449c98df,IE,Central Bank of Ireland,insurance;prudential_supervision;securities,timeliness,15,31.2329,true,"age_days=251;stale_after_days=365;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
SFC,ra-reg-sfc,ra-auth-hk-7242883237a6e80c,HK,Securities and Futures Commission*,securities,accessibility,20,,false,,No qualified official publication route matched the live regulator.
SFC,ra-reg-sfc,ra-auth-hk-7242883237a6e80c,HK,Securities and Futures Commission*,securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
SFC,ra-reg-sfc,ra-auth-hk-7242883237a6e80c,HK,Securities and Futures Commission*,securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=100;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
SFC,ra-reg-sfc,ra-auth-hk-7242883237a6e80c,HK,Securities and Futures Commission*,securities,archiveDepth,20,,false,active_years=7,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
SFC,ra-reg-sfc,ra-auth-hk-7242883237a6e80c,HK,Securities and Futures Commission*,securities,timeliness,15,96.1111,true,"age_days=7;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
AFM,ra-reg-afm,ra-auth-nl-3dea2d27ee965e72,NL,The Dutch Authority for the Financial Markets*,insurance;securities,accessibility,20,,false,qualification_state=manual-review-required,Official route remains under review and cannot support an accessibility component.
AFM,ra-reg-afm,ra-auth-nl-3dea2d27ee965e72,NL,The Dutch Authority for the Financial Markets*,insurance;securities,caseLevelSpecificity,25,100,true,sample_size=8;complete_case_fields=8;Fields read directly from /api/unified/search sample; monetary amount is not required.,
AFM,ra-reg-afm,ra-auth-nl-3dea2d27ee965e72,NL,The Dutch Authority for the Financial Markets*,insurance;securities,sourceTraceability,20,100,true,"sample_size=8;traceable_cases=8;verified_source_status_cases=0;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
AFM,ra-reg-afm,ra-auth-nl-3dea2d27ee965e72,NL,The Dutch Authority for the Financial Markets*,insurance;securities,archiveDepth,20,,false,active_years=2,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
AFM,ra-reg-afm,ra-auth-nl-3dea2d27ee965e72,NL,The Dutch Authority for the Financial Markets*,insurance;securities,timeliness,15,100,true,"age_days=0;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
DNB,ra-reg-dnb,ra-auth-nl-6a14d64a431056ac,NL,De Nederlandsche Bank,insurance;pensions;prudential_supervision,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
DNB,ra-reg-dnb,ra-auth-nl-6a14d64a431056ac,NL,De Nederlandsche Bank,insurance;pensions;prudential_supervision,caseLevelSpecificity,25,100,true,sample_size=48;complete_case_fields=48;Fields read directly from /api/unified/search sample; monetary amount is not required.,
DNB,ra-reg-dnb,ra-auth-nl-6a14d64a431056ac,NL,De Nederlandsche Bank,insurance;pensions;prudential_supervision,sourceTraceability,20,100,true,"sample_size=48;traceable_cases=48;verified_source_status_cases=0;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
DNB,ra-reg-dnb,ra-auth-nl-6a14d64a431056ac,NL,De Nederlandsche Bank,insurance;pensions;prudential_supervision,archiveDepth,20,44.4444,true,"active_years=5;authority_id=ra-auth-nl-6a14d64a431056ac;archive_access_state=dated-first-page-signal;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
DNB,ra-reg-dnb,ra-auth-nl-6a14d64a431056ac,NL,De Nederlandsche Bank,insurance;pensions;prudential_supervision,timeliness,15,7.2222,true,"age_days=167;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
ECB,ra-reg-ecb,,EU,,,accessibility,20,,false,,No qualified official publication route matched the live regulator.
ECB,ra-reg-ecb,,EU,,,caseLevelSpecificity,25,100,true,sample_size=88;complete_case_fields=88;Fields read directly from /api/unified/search sample; monetary amount is not required.,
ECB,ra-reg-ecb,,EU,,,sourceTraceability,20,100,true,"sample_size=88;traceable_cases=88;verified_source_status_cases=88;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
ECB,ra-reg-ecb,,EU,,,archiveDepth,20,,false,active_years=11,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
ECB,ra-reg-ecb,,EU,,,timeliness,15,65.5556,true,"age_days=62;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
DFSA,ra-reg-dfsa,ra-auth-ae-cc9e71ec2ffbc2f5,AE,Dubai Financial Services Authority,insurance;prudential_supervision;securities,accessibility,20,,false,,No qualified official publication route matched the live regulator.
DFSA,ra-reg-dfsa,ra-auth-ae-cc9e71ec2ffbc2f5,AE,Dubai Financial Services Authority,insurance;prudential_supervision;securities,caseLevelSpecificity,25,100,true,sample_size=19;complete_case_fields=19;Fields read directly from /api/unified/search sample; monetary amount is not required.,
DFSA,ra-reg-dfsa,ra-auth-ae-cc9e71ec2ffbc2f5,AE,Dubai Financial Services Authority,insurance;prudential_supervision;securities,sourceTraceability,20,100,true,"sample_size=19;traceable_cases=19;verified_source_status_cases=0;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
DFSA,ra-reg-dfsa,ra-auth-ae-cc9e71ec2ffbc2f5,AE,Dubai Financial Services Authority,insurance;prudential_supervision;securities,archiveDepth,20,,false,active_years=8,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
DFSA,ra-reg-dfsa,ra-auth-ae-cc9e71ec2ffbc2f5,AE,Dubai Financial Services Authority,insurance;prudential_supervision;securities,timeliness,15,46.5753,true,"age_days=195;stale_after_days=365;cadence=fragile;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
FSRA,ra-reg-fsra,ra-auth-ae-a2eaf322568b7d54,AE,Financial Services Regulatory Authority,insurance;securities,accessibility,20,,false,,No qualified official publication route matched the live regulator.
FSRA,ra-reg-fsra,ra-auth-ae-a2eaf322568b7d54,AE,Financial Services Regulatory Authority,insurance;securities,caseLevelSpecificity,25,100,true,sample_size=28;complete_case_fields=28;Fields read directly from /api/unified/search sample; monetary amount is not required.,
FSRA,ra-reg-fsra,ra-auth-ae-a2eaf322568b7d54,AE,Financial Services Regulatory Authority,insurance;securities,sourceTraceability,20,100,true,"sample_size=28;traceable_cases=28;verified_source_status_cases=28;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
FSRA,ra-reg-fsra,ra-auth-ae-a2eaf322568b7d54,AE,Financial Services Regulatory Authority,insurance;securities,archiveDepth,20,,false,active_years=2,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
FSRA,ra-reg-fsra,ra-auth-ae-a2eaf322568b7d54,AE,Financial Services Regulatory Authority,insurance;securities,timeliness,15,72.3288,true,"age_days=101;stale_after_days=365;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
CBUAE,ra-reg-cbuae,ra-auth-ae-da705b04944a16ff,AE,Central Bank of the United Arab Emirates,prudential_supervision,accessibility,20,,false,,No qualified official publication route matched the live regulator.
CBUAE,ra-reg-cbuae,ra-auth-ae-da705b04944a16ff,AE,Central Bank of the United Arab Emirates,prudential_supervision,caseLevelSpecificity,25,100,true,sample_size=36;complete_case_fields=36;Fields read directly from /api/unified/search sample; monetary amount is not required.,
CBUAE,ra-reg-cbuae,ra-auth-ae-da705b04944a16ff,AE,Central Bank of the United Arab Emirates,prudential_supervision,sourceTraceability,20,100,true,"sample_size=36;traceable_cases=36;verified_source_status_cases=33;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
CBUAE,ra-reg-cbuae,ra-auth-ae-da705b04944a16ff,AE,Central Bank of the United Arab Emirates,prudential_supervision,archiveDepth,20,,false,active_years=6,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
CBUAE,ra-reg-cbuae,ra-auth-ae-da705b04944a16ff,AE,Central Bank of the United Arab Emirates,prudential_supervision,timeliness,15,34.2466,true,"age_days=240;stale_after_days=365;cadence=fragile;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
JFSC,ra-reg-jfsc,ra-auth-je-5a2e6c5b726f4bd9,JE,Jersey Financial Services Commission,insurance;prudential_supervision;securities,accessibility,20,,false,,No qualified official publication route matched the live regulator.
JFSC,ra-reg-jfsc,ra-auth-je-5a2e6c5b726f4bd9,JE,Jersey Financial Services Commission,insurance;prudential_supervision;securities,caseLevelSpecificity,25,100,true,sample_size=6;complete_case_fields=6;Fields read directly from /api/unified/search sample; monetary amount is not required.,
JFSC,ra-reg-jfsc,ra-auth-je-5a2e6c5b726f4bd9,JE,Jersey Financial Services Commission,insurance;prudential_supervision;securities,sourceTraceability,20,100,true,"sample_size=6;traceable_cases=6;verified_source_status_cases=0;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
JFSC,ra-reg-jfsc,ra-auth-je-5a2e6c5b726f4bd9,JE,Jersey Financial Services Commission,insurance;prudential_supervision;securities,archiveDepth,20,,false,active_years=5,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
JFSC,ra-reg-jfsc,ra-auth-je-5a2e6c5b726f4bd9,JE,Jersey Financial Services Commission,insurance;prudential_supervision;securities,timeliness,15,,false,age_days=385;automation_level=sparse_source,Low-frequency or sparse source is kept as a watch; observation age is not treated as a failed transparency score.
GFSC,ra-reg-gfsc,ra-auth-gg-1e035352eed2575c,GG,Guernsey Financial Services Commission,insurance;pensions;prudential_supervision;securities,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
GFSC,ra-reg-gfsc,ra-auth-gg-1e035352eed2575c,GG,Guernsey Financial Services Commission,insurance;pensions;prudential_supervision;securities,caseLevelSpecificity,25,100,true,sample_size=32;complete_case_fields=32;Fields read directly from /api/unified/search sample; monetary amount is not required.,
GFSC,ra-reg-gfsc,ra-auth-gg-1e035352eed2575c,GG,Guernsey Financial Services Commission,insurance;pensions;prudential_supervision;securities,sourceTraceability,20,100,true,"sample_size=32;traceable_cases=32;verified_source_status_cases=32;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
GFSC,ra-reg-gfsc,ra-auth-gg-1e035352eed2575c,GG,Guernsey Financial Services Commission,insurance;pensions;prudential_supervision;securities,archiveDepth,20,88.8889,true,"active_years=9;authority_id=ra-auth-gg-1e035352eed2575c;archive_access_state=dated-first-page-signal;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
GFSC,ra-reg-gfsc,ra-auth-gg-1e035352eed2575c,GG,Guernsey Financial Services Commission,insurance;pensions;prudential_supervision;securities,timeliness,15,8.8889,true,"age_days=164;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
CIRO,ra-reg-ciro,,CA,,,accessibility,20,,false,,No qualified official publication route matched the live regulator.
CIRO,ra-reg-ciro,,CA,,,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
CIRO,ra-reg-ciro,,CA,,,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=30;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
CIRO,ra-reg-ciro,,CA,,,archiveDepth,20,,false,active_years=8,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
CIRO,ra-reg-ciro,,CA,,,timeliness,15,98.3562,true,"age_days=6;stale_after_days=365;cadence=fragile;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
SEC,ra-reg-sec,ra-auth-us-321899cf1be8b63f,US,Securities and Exchange Commission*,securities,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
SEC,ra-reg-sec,ra-auth-us-321899cf1be8b63f,US,Securities and Exchange Commission*,securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
SEC,ra-reg-sec,ra-auth-us-321899cf1be8b63f,US,Securities and Exchange Commission*,securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=0;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
SEC,ra-reg-sec,ra-auth-us-321899cf1be8b63f,US,Securities and Exchange Commission*,securities,archiveDepth,20,100,true,"active_years=15;authority_id=ra-auth-us-321899cf1be8b63f;archive_access_state=first-page-observed-no-date;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
SEC,ra-reg-sec,ra-auth-us-321899cf1be8b63f,US,Securities and Exchange Commission*,securities,timeliness,15,98.3333,true,"age_days=2;stale_after_days=120;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
SEBI,ra-reg-sebi,ra-auth-in-1a442264a9b3e9f5,IN,Securities and Exchange Board of India*,securities,accessibility,20,,false,,No qualified official publication route matched the live regulator.
SEBI,ra-reg-sebi,ra-auth-in-1a442264a9b3e9f5,IN,Securities and Exchange Board of India*,securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
SEBI,ra-reg-sebi,ra-auth-in-1a442264a9b3e9f5,IN,Securities and Exchange Board of India*,securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=16;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
SEBI,ra-reg-sebi,ra-auth-in-1a442264a9b3e9f5,IN,Securities and Exchange Board of India*,securities,archiveDepth,20,,false,active_years=5,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
SEBI,ra-reg-sebi,ra-auth-in-1a442264a9b3e9f5,IN,Securities and Exchange Board of India*,securities,timeliness,15,88.8889,true,"age_days=20;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
TWFSC,ra-reg-twfsc,ra-auth-tw-19b695d9525b0615,TW,Financial Supervisory Commission,insurance;securities,accessibility,20,,false,qualification_state=manual-review-required,Official route remains under review and cannot support an accessibility component.
TWFSC,ra-reg-twfsc,ra-auth-tw-19b695d9525b0615,TW,Financial Supervisory Commission,insurance;securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
TWFSC,ra-reg-twfsc,ra-auth-tw-19b695d9525b0615,TW,Financial Supervisory Commission,insurance;securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=100;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
TWFSC,ra-reg-twfsc,ra-auth-tw-19b695d9525b0615,TW,Financial Supervisory Commission,insurance;securities,archiveDepth,20,,false,active_years=15,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
TWFSC,ra-reg-twfsc,ra-auth-tw-19b695d9525b0615,TW,Financial Supervisory Commission,insurance;securities,timeliness,15,95,true,"age_days=9;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
CVM,ra-reg-cvm,ra-auth-br-a59437c9ce1f582b,BR,Comissão de Valores Mobiliários*,securities,accessibility,20,,false,qualification_state=browser-review-required,Official route remains under review and cannot support an accessibility component.
CVM,ra-reg-cvm,ra-auth-br-a59437c9ce1f582b,BR,Comissão de Valores Mobiliários*,securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
CVM,ra-reg-cvm,ra-auth-br-a59437c9ce1f582b,BR,Comissão de Valores Mobiliários*,securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=100;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
CVM,ra-reg-cvm,ra-auth-br-a59437c9ce1f582b,BR,Comissão de Valores Mobiliários*,securities,archiveDepth,20,,false,active_years=6,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
CVM,ra-reg-cvm,ra-auth-br-a59437c9ce1f582b,BR,Comissão de Valores Mobiliários*,securities,timeliness,15,95,true,"age_days=9;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
HKMA,ra-reg-hkma,ra-auth-hk-a01a8df1dfe9cf6d,HK,Hong Kong Monetary Authority,prudential_supervision,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
HKMA,ra-reg-hkma,ra-auth-hk-a01a8df1dfe9cf6d,HK,Hong Kong Monetary Authority,prudential_supervision,caseLevelSpecificity,25,100,true,sample_size=23;complete_case_fields=23;Fields read directly from /api/unified/search sample; monetary amount is not required.,
HKMA,ra-reg-hkma,ra-auth-hk-a01a8df1dfe9cf6d,HK,Hong Kong Monetary Authority,prudential_supervision,sourceTraceability,20,100,true,"sample_size=23;traceable_cases=23;verified_source_status_cases=23;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
HKMA,ra-reg-hkma,ra-auth-hk-a01a8df1dfe9cf6d,HK,Hong Kong Monetary Authority,prudential_supervision,archiveDepth,20,55.5556,true,"active_years=6;authority_id=ra-auth-hk-a01a8df1dfe9cf6d;archive_access_state=dated-first-page-signal;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
HKMA,ra-reg-hkma,ra-auth-hk-a01a8df1dfe9cf6d,HK,Hong Kong Monetary Authority,prudential_supervision,timeliness,15,,false,age_days=394;automation_level=low_frequency,Low-frequency or sparse source is kept as a watch; observation age is not treated as a failed transparency score.
ASIC,ra-reg-asic,ra-auth-au-5c0fc27b9fcb29ac,AU,Australian Securities and Investments Commission*,insurance;securities,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
ASIC,ra-reg-asic,ra-auth-au-5c0fc27b9fcb29ac,AU,Australian Securities and Investments Commission*,insurance;securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
ASIC,ra-reg-asic,ra-auth-au-5c0fc27b9fcb29ac,AU,Australian Securities and Investments Commission*,insurance;securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=97;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
ASIC,ra-reg-asic,ra-auth-au-5c0fc27b9fcb29ac,AU,Australian Securities and Investments Commission*,insurance;securities,archiveDepth,20,100,true,"active_years=13;authority_id=ra-auth-au-5c0fc27b9fcb29ac;archive_access_state=first-page-observed-no-date;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
ASIC,ra-reg-asic,ra-auth-au-5c0fc27b9fcb29ac,AU,Australian Securities and Investments Commission*,insurance;securities,timeliness,15,88.8889,true,"age_days=20;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
AUSTRAC,ra-reg-austrac,ra-auth-au-a991c73127987db8,AU,The Australian Transaction Reports and Analysis Centre (AUSTRAC),financial_intelligence,accessibility,20,,false,,No qualified official publication route matched the live regulator.
AUSTRAC,ra-reg-austrac,ra-auth-au-a991c73127987db8,AU,The Australian Transaction Reports and Analysis Centre (AUSTRAC),financial_intelligence,caseLevelSpecificity,25,100,true,sample_size=70;complete_case_fields=70;Fields read directly from /api/unified/search sample; monetary amount is not required.,
AUSTRAC,ra-reg-austrac,ra-auth-au-a991c73127987db8,AU,The Australian Transaction Reports and Analysis Centre (AUSTRAC),financial_intelligence,sourceTraceability,20,100,true,"sample_size=70;traceable_cases=70;verified_source_status_cases=0;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
AUSTRAC,ra-reg-austrac,ra-auth-au-a991c73127987db8,AU,The Australian Transaction Reports and Analysis Centre (AUSTRAC),financial_intelligence,archiveDepth,20,,false,active_years=18,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
