iso2,country,authority,roles,candidate_label,candidate_url,final_url,access_state,http_status,title,publication_relevance,observed_months_2024_2026,observed_month_count,latest_observed_month,provisional_cadence_signal,interpretation,error
AG,Antigua and Barbuda,Office of National Drug and Money Laundering Control Policy (ONDCP),financial_intelligence,Enforcement,https://ondcp.gov.ag/,https://ondcp.gov.ag/,reachable,200,Office of National Drug and Money Laundering Control Policy | Office of National Drug and Money Laundering Control Policy,strong-official-publication-candidate,2024-10;2025-03;2025-06;2025-07;2025-08;2025-10;2025-12;2026-02;2026-06,9,2026-06,active-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AR,Argentina,Superintendencia de Seguros de la Nacion Argentina,insurance;financial_intelligence,Seguros y Salud: la SSN presentó los alcances de la Resolución 258/2026 en la Fundación Sanatorio Güemes,https://www.argentina.gob.ar/noticias/seguros-y-salud-la-ssn-presento-los-alcances-de-la-resolucion-2582026-en-la-fundacion,https://www.argentina.gob.ar/noticias/seguros-y-salud-la-ssn-presento-los-alcances-de-la-resolucion-2582026-en-la-fundacion,challenge-protected,200,Seguros y Salud: la SSN presentó los alcances de la Resolución 258/2026 en la Fundación Sanatorio Güemes | Argentina.gob.ar,not-observable,2026-07;2026-08,2,2026-08,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AM,Armenia,Central Bank of Armenia,central_banking;prudential_supervision;securities;insurance;pensions;financial_intelligence,Խորհրդի փաստաթղթեր,https://www.cba.am/hy/Board-decisions/,https://www.cba.am/hy/Board-decisions/,reachable,200,Խորհրդի փաստաթղթեր | CBA,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AW,Aruba,Central Bank of Aruba,central_banking;prudential_supervision;insurance,Financial sanctions regulations,https://www.cbaruba.org/financial-sanctions-regulations/,https://www.cbaruba.org/financial-sanctions-regulations/,reachable,200,Financial sanctions regulations - Centrale Bank van Aruba - Centrale Bank van Aruba,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AW,Aruba,Financial Intelligence Unit of Aruba (FIU-Aruba),financial_intelligence,Sanctions List,https://www.fiu-aruba.com/legislation/sanctions-regime/,https://www.fiu-aruba.com/legislation/sanctions-regime/,reachable,200,Sanction regime | FIU-Aruba | Financial Intelligence Unit - Aruba,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AU,Australia,Australian Prudential Regulation Authority,prudential_supervision;insurance;pensions,Enforcement,https://www.apra.gov.au/about-us/our-functions/enforcement,https://www.apra.gov.au/about-us/our-functions/enforcement,reachable,200,Enforcement | APRA,strong-official-publication-candidate,2024-01;2024-03;2024-06;2024-07;2024-12;2025-03,6,2025-03,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AU,Australia,Australian Securities and Investments Commission*,securities;insurance,Investigations and enforcement,https://www.asic.gov.au/,https://www.asic.gov.au/,reachable,200,ASIC Home | ASIC,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AU,Australia,Reserve Bank of Australia,central_banking;prudential_supervision,Copyright and Disclaimer Notice,https://www.rba.gov.au/copyright/,https://www.rba.gov.au/copyright/,reachable,200,Copyright and Disclaimer Notice | RBA,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AT,Austria,Central Bank of the Republic of Austria,central_banking;prudential_supervision,Imprint and Disclaimer,https://www.oenb.at/en/Services/copyright-notice-and-disclaimer.html,https://www.oenb.at/en/Services/copyright-notice-and-disclaimer.html,reachable,200,Copyright notice and disclaimer - Oesterreichische Nationalbank (OeNB),generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AZ,Azerbaijan,Central Bank of the Republic of Azerbaijan,central_banking;prudential_supervision;insurance,Announcements and notices,https://www.cbar.az/press-releases/2,https://www.cbar.az/press-releases/2,reachable,200,Azərbaycan Respublikasının Mərkəzi Bankı - Elanlar,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BS,Bahamas,Central Bank of The Bahamas,central_banking;prudential_supervision,US/OFAC Sanctions,https://www.centralbankbahamas.com/bank-supervision/us-ofac-sanctions,https://www.centralbankbahamas.com/bank-supervision/us-ofac-sanctions,reachable,200,US/OFAC Sanctions- Central Bank of the Bahamas,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BS,Bahamas,Financial Intelligence Unit Bahamas (FIU-Bahamas),financial_intelligence,Notices,https://www.fiubahamas.org.bs/category/notices/,https://www.fiubahamas.org.bs/category/notices/,reachable,200,Notices – Financial Intelligence Unit,generic-or-ambiguous-link,2024-10;2025-03;2025-06;2025-10;2025-12,5,2025-12,periodic-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BS,Bahamas,Securities Commission of The Bahamas*,securities,Judgements and Rulings,https://scb.gov.bs/enforcement/judgements/,https://scb.gov.bs/enforcement/judgements/,reachable,200,Judgements - Securities Commission of The Bahamas,strong-official-publication-candidate,2025-11;2026-08,2,2026-08,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BS,Bahamas,The Insurance Commission of The Bahamas,insurance;pensions,Enforcement,https://www.icb.gov.bs/enforcement/,https://www.icb.gov.bs/enforcement/,reachable,200,Enforcement – Insurance Commission of The Bahamas,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BD,Bangladesh,Bangladesh Bank,central_banking;prudential_supervision;financial_intelligence,Information regarding enlistment of CA firms for auditing Banks and Finance Companies,https://www.bb.org.bd/mediaroom/notice/notice_342.pdf,https://www.bb.org.bd/mediaroom/notice/notice_342.pdf,reachable,200,,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BD,Bangladesh,Bangladesh Securities and Exchange Commission,securities,Enforcement Department,https://sec.gov.bd/home/enforcement,https://sec.gov.bd/home/enforcement,reachable,200,Bangladesh Securities and Exchange Commission,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BB,Barbados,Central Bank of Barbados,central_banking;prudential_supervision,United Nations Security Council Sanctions,https://www.centralbank.org.bb/financial-stability-and-financial-regulation/united-nations-security-council-sanctions,https://www.centralbank.org.bb/financial-stability-and-financial-regulation/united-nations-security-council-sanctions,reachable,200,United Nations Security Council Sanctions,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BB,Barbados,Financial Services Commission,securities,Read More,https://www.fsc.gov.bb/enforcement,https://www.fsc.gov.bb/enforcement,reachable,200,Financial Services Commission | Enforcement | Financial Services Commission Barbados,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
BE,Belgium,Financial Services and Markets Authority*,securities;insurance;pensions,Warnings & sanctions,https://www.fsma.be/en/warnings-sanctions,https://www.fsma.be/en/warnings-sanctions,reachable,200,Warnings & sanctions | FSMA,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
