regulator_code,regulator,country_code,country,source_type,scrape_mode,automation_level,operational_confidence,contract_cadence,stale_after_days,latest_action,latest_action_age_days,freshness_state,observed_records,registry_static_records,registry_count_delta,active_years,actions_per_active_year,active_months_last_24,enforcement_activity_signal,monetary_amount_disclosure_rate_pct,activity_interpretation,amount_interpretation
CNBCZ,Czech National Bank,CZ,Czech Republic,regulator,archive,automated,standard,daily,180,2026-08-05T00:00:00.000Z,15,within-contract,1779,1742,37,18,98.8,24,frequent,0.1,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CMVM,Comissão do Mercado de Valores Mobiliários,PT,Portugal,regulator,archive,automated,lower,fragile,365,2026-07-22T00:00:00.000Z,29,within-contract,140,133,7,10,14,6,periodic,2.1,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CYSEC,Cyprus Securities and Exchange Commission,CY,Cyprus,regulator,detail_pages,automated,standard,daily,180,2026-08-03T00:00:00.000Z,17,within-contract,1136,1116,20,14,81.1,24,frequent,50.8,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FISE,Finansinspektionen,SE,Sweden,regulator,archive,automated,standard,daily,180,2026-06-17T00:00:00.000Z,64,within-contract,64,39,25,10,6.4,10,active,70.3,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FTDK,Danish Financial Supervisory Authority,DK,Denmark,regulator,archive,automated,standard,daily,180,2026-07-06T00:00:00.000Z,45,within-contract,59,51,8,13,4.5,11,active,15.3,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FINFSA,Finnish Financial Supervisory Authority,FI,Finland,regulator,mixed,automated,standard,daily,180,2026-05-15T00:00:00.000Z,97,within-contract,48,44,4,13,3.7,9,active,72.9,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FTNO,Financial Supervisory Authority of Norway,NO,Norway,regulator,detail_pages,automated,standard,daily,180,2026-06-09T00:00:00.000Z,72,within-contract,42,40,2,6,7,9,active,23.8,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
MFSA,Malta Financial Services Authority,MT,Malta,regulator,detail_pages,automated,lower,fragile,365,2026-05-06T00:00:00.000Z,106,within-contract,275,52,223,18,15.3,16,active,59.3,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
IVASS,Institute for the Supervision of Insurance,IT,Italy,regulator,archive,automated,standard,daily,760,2024-12-31T00:00:00.000Z,597,within-contract,111,111,0,4,27.8,1,low-frequency,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FINRA,Financial Industry Regulatory Authority,US,United States,sro,search_register,automated,standard,daily,180,2026-08-03T00:00:00.000Z,17,within-contract,4209,3987,222,22,191.3,24,frequent,5.1,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
SC,Securities Commission Malaysia,MY,Malaysia,regulator,detail_pages,automated,standard,daily,180,2026-06-24T00:00:00.000Z,57,within-contract,97,88,9,5,19.4,16,active,88.7,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CIMA,Cayman Islands Monetary Authority,KY,Cayman Islands,regulator,detail_pages,automated,standard,daily,180,2026-06-09T00:00:00.000Z,72,within-contract,160,192,-32,10,16,9,active,8.1,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
