regulator_code,country_code,authority_id,component,blocker,evidence
IOMFSA,IM,ra-auth-im-fd7b7763058345b6,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=7
IOMFSA,IM,ra-auth-im-fd7b7763058345b6,timeliness,Low-frequency or sparse source is kept as a watch; observation age is not treated as a failed transparency score.,age_days=429;automation_level=low_frequency
AMMC,MA,ra-auth-ma-b5cfe30602d176ea,accessibility,No qualified official publication route matched the live regulator.,
AMMC,MA,ra-auth-ma-b5cfe30602d176ea,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=3
AMMC,MA,ra-auth-ma-b5cfe30602d176ea,timeliness,Low-frequency or sparse source is kept as a watch; observation age is not treated as a failed transparency score.,age_days=896;automation_level=low_frequency
CNV,AR,ra-auth-ar-12eb11a773eaa5ef,accessibility,No qualified official publication route matched the live regulator.,
CNV,AR,ra-auth-ar-12eb11a773eaa5ef,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=2
BDI,IT,,accessibility,No qualified official publication route matched the live regulator.,
BDI,IT,,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=7
FMAAT,AT,ra-auth-at-0c2dcb3373507cc1,accessibility,No qualified official publication route matched the live regulator.,
FMAAT,AT,ra-auth-at-0c2dcb3373507cc1,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=8
CNBCZ,CZ,ra-auth-cz-c9c68c4d2da33262,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
CNBCZ,CZ,ra-auth-cz-c9c68c4d2da33262,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=18
CMVM,PT,ra-auth-pt-9416ad68ffc0ead8,accessibility,No qualified official publication route matched the live regulator.,
CMVM,PT,ra-auth-pt-9416ad68ffc0ead8,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=10
CYSEC,CY,ra-auth-cy-763f7fdf3a372e1b,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=browser-review-required
CYSEC,CY,ra-auth-cy-763f7fdf3a372e1b,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=14
FTDK,DK,ra-auth-dk-74ed5e7e0e14a760,accessibility,No qualified official publication route matched the live regulator.,
FTDK,DK,ra-auth-dk-74ed5e7e0e14a760,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=13
FINFSA,FI,ra-auth-fi-e59f9db9ae9280fc,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
FINFSA,FI,ra-auth-fi-e59f9db9ae9280fc,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=13
FTNO,NO,ra-auth-no-80719903f3ffe2e0,accessibility,No qualified official publication route matched the live regulator.,
FTNO,NO,ra-auth-no-80719903f3ffe2e0,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=6
MFSA,MT,ra-auth-mt-0d68677a8237087f,accessibility,No qualified official publication route matched the live regulator.,
MFSA,MT,ra-auth-mt-0d68677a8237087f,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=18
IVASS,IT,ra-auth-it-d255f9df495ac260,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
IVASS,IT,ra-auth-it-d255f9df495ac260,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=4
FINRA,US,,accessibility,No qualified official publication route matched the live regulator.,
FINRA,US,,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=22
CIMA,KY,ra-auth-ky-4cae34554efc1a6b,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=browser-review-required
CIMA,KY,ra-auth-ky-4cae34554efc1a6b,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=10
